trial,runtime_sec,sse,cluster_counts,iterations,version
0,0.2420397000023513,498397089952.2356,"{0: 1113, 1: 8, 2: 1119}",7,lab03
1,0.9673268999977154,529091272586.9788,"{0: 604, 1: 782, 2: 854}",28,lab03
2,1.5799848999995447,529089293256.3279,"{0: 852, 1: 785, 2: 603}",46,lab03
3,0.904160400001274,529091272586.9788,"{0: 604, 1: 782, 2: 854}",26,lab03
4,1.3892888000009407,529089293256.3279,"{0: 603, 1: 852, 2: 785}",40,lab03
5,0.8387041000023601,529091272586.9788,"{0: 782, 1: 854, 2: 604}",24,lab03
6,0.5839636999990034,529091272586.9788,"{0: 782, 1: 854, 2: 604}",16,lab03
7,0.41315989999930025,498397089952.2356,"{0: 1119, 1: 8, 2: 1113}",11,lab03
8,1.2040025999995123,529089293256.3279,"{0: 603, 1: 785, 2: 852}",35,lab03
9,0.9713486000000557,529091272586.9788,"{0: 854, 1: 782, 2: 604}",28,lab03
10,0.8915716999981669,529091272586.9788,"{0: 604, 1: 854, 2: 782}",26,lab03
11,1.3264999999992142,529089293256.3279,"{0: 852, 1: 785, 2: 603}",38,lab03
12,1.45508719999998,529089293256.3279,"{0: 852, 1: 785, 2: 603}",42,lab03
13,1.1797850000002654,529089293256.3279,"{0: 852, 1: 603, 2: 785}",34,lab03
14,0.5534910999995191,529091272586.9788,"{0: 854, 1: 604, 2: 782}",16,lab03
15,0.2772913000007975,529089293256.3279,"{0: 603, 1: 785, 2: 852}",8,lab03
16,1.3467294999973092,529089293256.3279,"{0: 785, 1: 852, 2: 603}",39,lab03
17,1.2123764999996638,529089293256.3279,"{0: 852, 1: 785, 2: 603}",35,lab03
18,1.1382516999983636,529089293256.3279,"{0: 785, 1: 603, 2: 852}",33,lab03
19,0.7988908000006631,529089293256.3279,"{0: 785, 1: 603, 2: 852}",23,lab03
20,1.187983300002088,529089293256.3279,"{0: 785, 1: 852, 2: 603}",34,lab03
21,0.9970317999977851,529091272586.9788,"{0: 854, 1: 604, 2: 782}",29,lab03
22,0.720927300000767,529091272586.9788,"{0: 782, 1: 604, 2: 854}",21,lab03
23,1.2758890999975847,529089293256.3279,"{0: 852, 1: 785, 2: 603}",37,lab03
24,1.0664937000001373,529089293256.3279,"{0: 852, 1: 603, 2: 785}",31,lab03
25,0.5891308999998728,529091272586.9788,"{0: 854, 1: 604, 2: 782}",17,lab03
26,0.7518887000005634,529091272586.9788,"{0: 604, 1: 782, 2: 854}",22,lab03
27,0.7615881000019726,529091272586.9788,"{0: 604, 1: 854, 2: 782}",22,lab03
28,0.5582992999989074,529091272586.9788,"{0: 854, 1: 782, 2: 604}",16,lab03
29,1.0080033000012918,529091272586.9788,"{0: 782, 1: 854, 2: 604}",29,lab03
